,Acronym,Name
0,MMM,"['3M', 'Company']"
1,AOS,"['AO', 'Smith', 'Corp']"
2,ABT,"['Abbott', 'Laboratories']"
3,ABBV,"['AbbVie', 'Inc']"
4,ABMD,"['ABIOMED', 'Inc']"
5,ACN,"['Accenture', 'plc']"
6,ATVI,"['Activision', 'Blizzard']"
7,ADBE,"['Adobe', 'Inc']"
8,AAP,"['Advance', 'Auto', 'Parts']"
9,AMD,"['Advanced', 'Micro', 'Devices', 'Inc']"
10,AES,"['AES', 'Corp']"
11,AFL,"['AFLAC', 'Inc']"
12,A,"['Agilent', 'Technologies', 'Inc']"
13,APD,"['Air', 'Products', '&', 'Chemicals', 'Inc']"
14,AKAM,"['Akamai', 'Technologies', 'Inc']"
15,ALK,"['Alaska', 'Air', 'Group', 'Inc']"
16,ALB,"['Albemarle', 'Corp']"
17,ARE,"['Alexandria', 'Real', 'Estate', 'Equities']"
18,ALXN,"['Alexion', 'Pharmaceuticals']"
19,ALGN,"['Align', 'Technology']"
20,ALLE,['Allegion']
21,LNT,"['Alliant', 'Energy', 'Corp']"
22,ALL,"['Allstate', 'Corp']"
23,GOOGL,"['Alphabet', 'Inc', '(Class', 'A)']"
24,GOOG,"['Alphabet', 'Inc', '(Class', 'C)']"
25,MO,"['Altria', 'Group', 'Inc']"
26,AMZN,"['Amazoncom', 'Inc']"
27,AMCR,"['Amcor', 'plc']"
28,AEE,"['Ameren', 'Corp']"
29,AAL,"['American', 'Airlines', 'Group']"
30,AEP,"['American', 'Electric', 'Power']"
31,AXP,"['American', 'Express', 'Co']"
32,AIG,"['American', 'International', 'Group']"
33,AMT,"['American', 'Tower', 'Corp']"
34,AWK,"['American', 'Water', 'Works', 'Company', 'Inc']"
35,AMP,"['Ameriprise', 'Financial']"
36,ABC,"['AmerisourceBergen', 'Corp']"
37,AME,"['AMETEK', 'Inc']"
38,AMGN,"['Amgen', 'Inc']"
39,APH,"['Amphenol', 'Corp']"
40,ADI,"['Analog', 'Devices', 'Inc']"
41,ANSS,['ANSYS']
42,ANTM,['Anthem']
43,AON,"['Aon', 'plc']"
44,APA,"['Apache', 'Corporation']"
45,AIV,"['Apartment', 'Investment', '&', 'Management']"
46,AAPL,"['Apple', 'Inc']"
47,AMAT,"['Applied', 'Materials', 'Inc']"
48,APTV,"['Aptiv', 'PLC']"
49,ADM,"['Archer-Daniels-Midland', 'Co']"
50,ANET,"['Arista', 'Networks']"
51,AJG,"['Arthur', 'J', 'Gallagher', '&', 'Co']"
52,AIZ,['Assurant']
53,T,"['AT&T', 'Inc']"
54,ATO,"['Atmos', 'Energy']"
55,ADSK,"['Autodesk', 'Inc']"
56,ADP,"['Automatic', 'Data', 'Processing']"
57,AZO,"['AutoZone', 'Inc']"
58,AVB,"['AvalonBay', 'Communities']"
59,AVY,"['Avery', 'Dennison', 'Corp']"
60,BKR,"['Baker', 'Hughes', 'Co']"
61,BLL,"['Ball', 'Corp']"
62,BAC,"['Bank', 'of', 'America', 'Corp']"
63,BAX,"['Baxter', 'International', 'Inc']"
64,BDX,"['Becton', 'Dickinson']"
65,BRK.B,"['Berkshire', 'Hathaway']"
66,BBY,"['Best', 'Buy', 'Co', 'Inc']"
67,BIO,"['Bio-Rad', 'Laboratories']"
68,BIIB,"['Biogen', 'Inc']"
69,BLK,['BlackRock']
70,BA,"['Boeing', 'Company']"
71,BKNG,"['Booking', 'Holdings', 'Inc']"
72,BWA,['BorgWarner']
73,BXP,"['Boston', 'Properties']"
74,BSX,"['Boston', 'Scientific']"
75,BMY,"['Bristol-Myers', 'Squibb']"
76,AVGO,"['Broadcom', 'Inc']"
77,BR,"['Broadridge', 'Financial', 'Solutions']"
78,BF.B,"['Brown-Forman', 'Corp']"
79,CHRW,"['C', 'H', 'Robinson', 'Worldwide']"
80,COG,"['Cabot', 'Oil', '&', 'Gas']"
81,CDNS,"['Cadence', 'Design', 'Systems']"
82,CPB,"['Campbell', 'Soup']"
83,COF,"['Capital', 'One', 'Financial']"
84,CAH,"['Cardinal', 'Health', 'Inc']"
85,KMX,"['Carmax', 'Inc']"
86,CCL,"['Carnival', 'Corp']"
87,CARR,"['Carrier', 'Global']"
88,CAT,"['Caterpillar', 'Inc']"
89,CBOE,"['Cboe', 'Global', 'Markets']"
90,CBRE,"['CBRE', 'Group']"
91,CDW,['CDW']
92,CE,['Celanese']
93,CNC,"['Centene', 'Corporation']"
94,CNP,"['CenterPoint', 'Energy']"
95,CTL,"['CenturyLink', 'Inc']"
96,CERN,['Cerner']
97,CF,"['CF', 'Industries', 'Holdings', 'Inc']"
98,SCHW,"['Charles', 'Schwab', 'Corporation']"
99,CHTR,"['Charter', 'Communications']"
100,CVX,"['Chevron', 'Corp']"
101,CMG,"['Chipotle', 'Mexican', 'Grill']"
102,CB,"['Chubb', 'Limited']"
103,CHD,"['Church', '&', 'Dwight']"
104,CI,"['CIGNA', 'Corp']"
105,CINF,"['Cincinnati', 'Financial']"
106,CTAS,"['Cintas', 'Corporation']"
107,CSCO,"['Cisco', 'Systems']"
108,C,"['Citigroup', 'Inc']"
109,CFG,"['Citizens', 'Financial', 'Group']"
110,CTXS,"['Citrix', 'Systems']"
111,CME,"['CME', 'Group', 'Inc']"
112,CMS,"['CMS', 'Energy']"
113,KO,"['Coca-Cola', 'Company']"
114,CTSH,"['Cognizant', 'Technology', 'Solutions']"
115,CL,['Colgate-Palmolive']
116,CMCSA,"['Comcast', 'Corp']"
117,CMA,"['Comerica', 'Inc']"
118,CAG,"['Conagra', 'Brands']"
119,CXO,"['Concho', 'Resources']"
120,COP,['ConocoPhillips']
121,ED,"['Consolidated', 'Edison']"
122,STZ,"['Constellation', 'Brands']"
123,CPRT,"['Copart', 'Inc']"
124,GLW,"['Corning', 'Inc']"
125,CTVA,['Corteva']
126,COST,"['Costco', 'Wholesale', 'Corp']"
127,COTY,"['Coty', 'Inc']"
128,CCI,"['Crown', 'Castle', 'International', 'Corp']"
129,CSX,"['CSX', 'Corp']"
130,CMI,"['Cummins', 'Inc']"
131,CVS,"['CVS', 'Health']"
132,DHI,"['D', 'R', 'Horton']"
133,DHR,"['Danaher', 'Corp']"
134,DRI,"['Darden', 'Restaurants']"
135,DVA,"['DaVita', 'Inc']"
136,DE,"['Deere', '&', 'Co']"
137,DAL,"['Delta', 'Air', 'Lines', 'Inc']"
138,XRAY,"['Dentsply', 'Sirona']"
139,DVN,"['Devon', 'Energy']"
140,DXCM,['DexCom']
141,FANG,"['Diamondback', 'Energy']"
142,DLR,"['Digital', 'Realty', 'Trust', 'Inc']"
143,DFS,"['Discover', 'Financial', 'Services']"
144,DISCA,"['Discovery', 'Inc', '(Class', 'A)']"
145,DISCK,"['Discovery', 'Inc', '(Class', 'C)']"
146,DISH,"['Dish', 'Network']"
147,DG,"['Dollar', 'General']"
148,DLTR,"['Dollar', 'Tree']"
149,D,"['Dominion', 'Energy']"
150,DPZ,"[""Domino's"", 'Pizza']"
151,DOV,"['Dover', 'Corporation']"
152,DOW,"['Dow', 'Inc']"
153,DTE,"['DTE', 'Energy', 'Co']"
154,DUK,"['Duke', 'Energy']"
155,DRE,"['Duke', 'Realty', 'Corp']"
156,DD,"['DuPont', 'de', 'Nemours', 'Inc']"
157,DXC,"['DXC', 'Technology']"
158,ETFC,['E*Trade']
159,EMN,"['Eastman', 'Chemical']"
160,ETN,"['Eaton', 'Corporation']"
161,EBAY,"['eBay', 'Inc']"
162,ECL,"['Ecolab', 'Inc']"
163,EIX,"['Edison', ""Int'l""]"
164,EW,"['Edwards', 'Lifesciences']"
165,EA,"['Electronic', 'Arts']"
166,EMR,"['Emerson', 'Electric', 'Company']"
167,ETR,"['Entergy', 'Corp']"
168,EOG,"['EOG', 'Resources']"
169,EFX,"['Equifax', 'Inc']"
170,EQIX,['Equinix']
171,EQR,"['Equity', 'Residential']"
172,ESS,"['Essex', 'Property', 'Trust', 'Inc']"
173,EL,"['Estée', 'Lauder', 'Companies']"
174,RE,"['Everest', 'Re', 'Group', 'Ltd']"
175,EVRG,['Evergy']
176,ES,"['Eversource', 'Energy']"
177,EXC,"['Exelon', 'Corp']"
178,EXPE,"['Expedia', 'Group']"
179,EXPD,['Expeditors']
180,EXR,"['Extra', 'Space', 'Storage']"
181,XOM,"['Exxon', 'Mobil', 'Corp']"
182,FFIV,"['F5', 'Networks']"
183,FB,"['Facebook', 'Inc']"
184,FAST,"['Fastenal', 'Co']"
185,FRT,"['Federal', 'Realty', 'Investment', 'Trust']"
186,FDX,"['FedEx', 'Corporation']"
187,FIS,"['Fidelity', 'National', 'Information', 'Services']"
188,FITB,"['Fifth', 'Third', 'Bancorp']"
189,FRC,"['First', 'Republic', 'Bank']"
190,FE,"['FirstEnergy', 'Corp']"
191,FISV,"['Fiserv', 'Inc']"
192,FLT,"['FleetCor', 'Technologies', 'Inc']"
193,FLIR,"['FLIR', 'Systems']"
194,FLS,"['Flowserve', 'Corporation']"
195,FMC,"['FMC', 'Corporation']"
196,F,"['Ford', 'Motor', 'Company']"
197,FTNT,['Fortinet']
198,FTV,"['Fortive', 'Corp']"
199,FBHS,"['Fortune', 'Brands', 'Home', '&', 'Security']"
200,FOXA,"['Fox', 'Corporation', '(Class', 'A)']"
201,FOX,"['Fox', 'Corporation', '(Class', 'B)']"
202,BEN,"['Franklin', 'Resources']"
203,FCX,"['Freeport-McMoRan', 'Inc']"
204,GPS,"['Gap', 'Inc']"
205,GRMN,"['Garmin', 'Ltd']"
206,IT,"['Gartner', 'Inc']"
207,GD,"['General', 'Dynamics']"
208,GE,"['General', 'Electric']"
209,GIS,"['General', 'Mills']"
210,GM,"['General', 'Motors']"
211,GPC,"['Genuine', 'Parts']"
212,GILD,"['Gilead', 'Sciences']"
213,GPN,"['Global', 'Payments', 'Inc']"
214,GL,"['Globe', 'Life', 'Inc']"
215,GS,"['Goldman', 'Sachs', 'Group']"
216,GWW,"['Grainger', '(WW)', 'Inc']"
217,HRB,"['H&R', 'Block']"
218,HAL,"['Halliburton', 'Co']"
219,HBI,"['Hanesbrands', 'Inc']"
220,HIG,"['Hartford', 'Financial', 'SvcGp']"
221,HAS,"['Hasbro', 'Inc']"
222,HCA,"['HCA', 'Healthcare']"
223,PEAK,"['Healthpeak', 'Properties']"
224,HSIC,"['Henry', 'Schein']"
225,HES,"['Hess', 'Corporation']"
226,HPE,"['Hewlett', 'Packard', 'Enterprise']"
227,HLT,"['Hilton', 'Worldwide', 'Holdings', 'Inc']"
228,HFC,"['HollyFrontier', 'Corp']"
229,HOLX,['Hologic']
230,HD,"['Home', 'Depot']"
231,HON,"['Honeywell', ""Int'l"", 'Inc']"
232,HRL,"['Hormel', 'Foods', 'Corp']"
233,HST,"['Host', 'Hotels', '&', 'Resorts']"
234,HWM,"['Howmet', 'Aerospace']"
235,HPQ,"['HP', 'Inc']"
236,HUM,"['Humana', 'Inc']"
237,HBAN,"['Huntington', 'Bancshares']"
238,HII,"['Huntington', 'Ingalls', 'Industries']"
239,IEX,"['IDEX', 'Corporation']"
240,IDXX,"['IDEXX', 'Laboratories']"
241,INFO,"['IHS', 'Markit', 'Ltd']"
242,ITW,"['Illinois', 'Tool', 'Works']"
243,ILMN,"['Illumina', 'Inc']"
244,INCY,['Incyte']
245,IR,"['Ingersoll', 'Rand']"
246,INTC,"['Intel', 'Corp']"
